Month,Scripts
1991 Jul,1
1991 Aug,1
1991 Sep,1
1991 Oct,0
1991 Nov,0
1991 Dec,1
1992 Jan,3
1992 Feb,1
1992 Mar,1
1992 Apr,1
1992 May,1
1992 Jun,1
1992 Jul,2
1992 Aug,1
1992 Sep,1
1992 Oct,0
1992 Nov,0
1992 Dec,2
1993 Jan,0
1993 Feb,0
1993 Mar,1
1993 Apr,2
1993 May,0
1993 Jun,1
1993 Jul,0
1993 Aug,0
1993 Sep,1
1993 Oct,1
1993 Nov,1
1993 Dec,1
1994 Jan,0
1994 Feb,0
1994 Mar,2
1994 Apr,1
1994 May,0
1994 Jun,0
1994 Jul,0
1994 Aug,1
1994 Sep,0
1994 Oct,3
1994 Nov,3
1994 Dec,2
1995 Jan,4
1995 Feb,1
1995 Mar,1
1995 Apr,3
1995 May,3
1995 Jun,1
1995 Jul,0
1995 Aug,4
1995 Sep,1
1995 Oct,3
1995 Nov,0
1995 Dec,1
1996 Jan,2
1996 Feb,5
1996 Mar,14
1996 Apr,2
1996 May,0
1996 Jun,0
1996 Jul,3
1996 Aug,6
1996 Sep,2
1996 Oct,2
1996 Nov,2
1996 Dec,5
1997 Jan,1
1997 Feb,6
1997 Mar,3
1997 Apr,3
1997 May,2
1997 Jun,0
1997 Jul,1
1997 Aug,1
1997 Sep,0
1997 Oct,0
1997 Nov,0
1997 Dec,1
1998 Jan,4
1998 Feb,12
1998 Mar,4
1998 Apr,0
1998 May,7
1998 Jun,0
1998 Jul,2
1998 Aug,1
1998 Sep,4
1998 Oct,1
1998 Nov,3
1998 Dec,1
1999 Jan,0
1999 Feb,6
1999 Mar,9
1999 Apr,3
1999 May,1
1999 Jun,3
1999 Jul,1
1999 Aug,7
1999 Sep,1
1999 Oct,3
1999 Nov,3
1999 Dec,3
2000 Jan,5
2000 Feb,6
2000 Mar,10
2000 Apr,5
2000 May,1
2000 Jun,3
2000 Jul,1
2000 Aug,1
2000 Sep,1
2000 Oct,2
2000 Nov,1
2000 Dec,3
2001 Jan,7
2001 Feb,11
2001 Mar,10
2001 Apr,5
2001 May,5
2001 Jun,2
2001 Jul,2
2001 Aug,1
2001 Sep,0
2001 Oct,3
2001 Nov,6
2001 Dec,5
2002 Jan,8
2002 Feb,9
2002 Mar,1
2002 Apr,1
2002 May,0
2002 Jun,0
2002 Jul,0
2002 Aug,1
2002 Sep,2
2002 Oct,2
2002 Nov,0
2002 Dec,0
2003 Jan,0
2003 Feb,0
2003 Mar,1
2003 Apr,0
2003 May,0
2003 Jun,0
2003 Jul,2
2003 Aug,1
2003 Sep,1
2003 Oct,0
2003 Nov,1
2003 Dec,0
2004 Jan,0
2004 Feb,0
2004 Mar,0
2004 Apr,0
2004 May,0
2004 Jun,0
2004 Jul,0
2004 Aug,0
2004 Sep,0
2004 Oct,0
2004 Nov,0
2004 Dec,0
2005 Jan,1
2005 Feb,0
2005 Mar,1
2005 Apr,3
2005 May,0
2005 Jun,0
2005 Jul,0
2005 Aug,0
2005 Sep,0
2005 Oct,0
2005 Nov,0
2005 Dec,0
2006 Jan,0
2006 Feb,0
2006 Mar,0
2006 Apr,0
2006 May,0
2006 Jun,0
2006 Jul,0
2006 Aug,0
2006 Sep,0
2006 Oct,0
2006 Nov,0
2006 Dec,0
2007 Jan,0
2007 Feb,0
2007 Mar,0
2007 Apr,0
2007 May,0
2007 Jun,0
2007 Jul,0
2007 Aug,0
2007 Sep,0
2007 Oct,0
2007 Nov,0
2007 Dec,0
2008 Jan,0
2008 Feb,0
2008 Mar,0
2008 Apr,0
2008 May,0
2008 Jun,0
