Year,Passengers
1970,7.3187
1971,7.3266
1972,7.7956
1973,9.3846
1974,10.6647
1975,11.0551
1976,10.8643
1977,11.3065
1978,12.1223
1979,13.0225
1980,13.6488
1981,13.2195
1982,13.1879
1983,12.6015
1984,13.2368
1985,14.4121
1986,15.4973
1987,16.8802
1988,18.8163
1989,15.1143
1990,17.5534
1991,21.8601
1992,23.8866
1993,26.9293
1994,26.8885
1995,28.8314
1996,30.0751
1997,30.9535
1998,30.1857
1999,31.5797
2000,32.577569
2001,33.477398
2002,39.021581
2003,41.386432
2004,41.596552
2005,44.657324
2006,46.951775
2007,48.728837
2008,51.488427
2009,50.026967
2010,60.640913
2011,63.3603103378
2012,66.355274
2013,68.197955
2014,68.12323766930001
2015,69.7793454797
2016,72.59770080599999
