Year,Production
1970,0.311405
1971,0.32518
1972,0.339565
1973,0.35458
1974,0.370265
1975,0.38664
1976,0.40374
1977,0.4216
1978,0.44025
1979,0.45972
1980,0.480055
1981,0.50129
1982,0.52346
1983,0.54661
1984,0.57079
1985,0.596035
1986,0.622395
1987,0.649925
1988,0.67867
1989,0.70869
1990,0.740035
1991,0.772765
1992,0.806945
1993,0.842635
1994,0.879905
1995,0.918825
1996,0.95946
1997,1.0019
1998,1.04622
1999,1.09249
2000,1.14081
2001,1.03352
2002,1.08867
2003,1.14676
2004,1.20796
2005,1.27242
2006,1.34031
2007,1.40159
2008,1.53409
2009,1.45593
2010,1.49896
2011,1.5
