Year,Hare,Lynx
1845,19580,30090
1846,19600,45150
1847,19610,49150
1848,11990,39520
1849,28040,21230
1850,58000,8420
1851,74600,5560
1852,75090,5080
1853,88480,10170
1854,61280,19600
1855,74670,32910
1856,88060,34380
1857,68510,29590
1858,32189.999999999996,21300
1859,12640,13690
1860,21490,7650
1861,30350,4080
1862,2180,4090
1863,152650,14330
1864,148360,38220
1865,85810,60780
1866,41410,70770
1867,14750,72770
1868,2280,42680
1869,5910,16390
1870,9950,9830
1871,10440,5800
1872,70640,5260
1873,50120,18910
1874,50130,30950
1875,101250,31180
1876,97120,46340
1877,86510,45770
1878,72170,44150
1879,38320,36330
1880,10110,12030
1881,7740,12600
1882,9670,18340
1883,43120,35140
1884,52210,43770
1885,134850,65690
1886,134860,79350
1887,103790,51650
1888,46100,32590.000000000004
1889,15030,22450
1890,24200,16160
1891,41650,14120
1892,52340,20380
1893,53780,33330
1894,70400,46000
1895,85810,51410
1896,56690,46430
1897,16590,33680
1898,6160,18010
1899,2300,8860
1900,12820,7130
1901,4720,9470
1902,4730,14860
1903,37220,31470
1904,69720,60570
1905,57780,63510
1906,28680,54700
1907,23370,6300
1908,21540,3410
1909,26340,5440
1910,53100,11650
1911,68480,20350
1912,75580,32880
1913,57920,39550
1914,40970,43360
1915,24950,40830
1916,12590,30360
1917,4970,17180
1918,4500,6820
1919,11210,3190
1920,56600,3520
1921,69630,9940
1922,77740,20300
1923,80530,31990
1924,73380,42360
1925,36930,49080
1926,4640,53990
1927,2540,52250
1928,1800,37700
1929,2390,19140
1930,4230,6980
1931,19520,8310
1932,82110,16010.000000000002
1933,89760,24820
1934,81660,29700
1935,15760,35400
