,KSI,label
1969-01-01,1687,0
1969-02-01,1508,0
1969-03-01,1507,0
1969-04-01,1385,0
1969-05-01,1632,0
1969-06-01,1511,0
1969-07-01,1559,0
1969-08-01,1630,0
1969-09-01,1579,0
1969-10-01,1653,0
1969-11-01,2152,0
1969-12-01,2148,0
1970-01-01,1752,0
1970-02-01,1765,0
1970-03-01,1717,0
1970-04-01,1558,0
1970-05-01,1575,0
1970-06-01,1520,0
1970-07-01,1805,0
1970-08-01,1800,0
1970-09-01,1719,0
1970-10-01,2008,0
1970-11-01,2242,0
1970-12-01,2478,0
1971-01-01,2030,0
1971-02-01,1655,0
1971-03-01,1693,0
1971-04-01,1623,0
1971-05-01,1805,0
1971-06-01,1746,0
1971-07-01,1795,0
1971-08-01,1926,0
1971-09-01,1619,0
1971-10-01,1992,0
1971-11-01,2233,0
1971-12-01,2192,0
1972-01-01,2080,0
1972-02-01,1768,0
1972-03-01,1835,0
1972-04-01,1569,0
1972-05-01,1976,0
1972-06-01,1853,0
1972-07-01,1965,0
1972-08-01,1689,0
1972-09-01,1778,0
1972-10-01,1976,0
1972-11-01,2397,0
1972-12-01,2654,0
1973-01-01,2097,0
1973-02-01,1963,0
1973-03-01,1677,0
1973-04-01,1941,0
1973-05-01,2003,0
1973-06-01,1813,0
1973-07-01,2012,0
1973-08-01,1912,0
1973-09-01,2084,0
1973-10-01,2080,0
1973-11-01,2118,0
1973-12-01,2150,0
1974-01-01,1608,0
1974-02-01,1503,0
1974-03-01,1548,0
1974-04-01,1382,0
1974-05-01,1731,0
1974-06-01,1798,0
1974-07-01,1779,0
1974-08-01,1887,0
1974-09-01,2004,0
1974-10-01,2077,0
1974-11-01,2092,0
1974-12-01,2051,0
1975-01-01,1577,0
1975-02-01,1356,0
1975-03-01,1652,0
1975-04-01,1382,0
1975-05-01,1519,0
1975-06-01,1421,0
1975-07-01,1442,0
1975-08-01,1543,0
1975-09-01,1656,0
1975-10-01,1561,0
1975-11-01,1905,0
1975-12-01,2199,0
1976-01-01,1473,0
1976-02-01,1655,0
1976-03-01,1407,0
1976-04-01,1395,0
1976-05-01,1530,0
1976-06-01,1309,0
1976-07-01,1526,0
1976-08-01,1327,0
1976-09-01,1627,0
1976-10-01,1748,0
1976-11-01,1958,0
1976-12-01,2274,0
1977-01-01,1648,0
1977-02-01,1401,0
1977-03-01,1411,0
1977-04-01,1403,0
1977-05-01,1394,0
1977-06-01,1520,0
1977-07-01,1528,0
1977-08-01,1643,0
1977-09-01,1515,0
1977-10-01,1685,0
1977-11-01,2000,0
1977-12-01,2215,0
1978-01-01,1956,0
1978-02-01,1462,0
1978-03-01,1563,0
1978-04-01,1459,0
1978-05-01,1446,0
1978-06-01,1622,0
1978-07-01,1657,0
1978-08-01,1638,0
1978-09-01,1643,0
1978-10-01,1683,0
1978-11-01,2050,0
1978-12-01,2262,0
1979-01-01,1813,0
1979-02-01,1445,0
1979-03-01,1762,0
1979-04-01,1461,0
1979-05-01,1556,0
1979-06-01,1431,0
1979-07-01,1427,0
1979-08-01,1554,0
1979-09-01,1645,0
1979-10-01,1653,0
1979-11-01,2016,0
1979-12-01,2207,0
1980-01-01,1665,0
1980-02-01,1361,0
1980-03-01,1506,0
1980-04-01,1360,0
1980-05-01,1453,0
1980-06-01,1522,0
1980-07-01,1460,0
1980-08-01,1552,0
1980-09-01,1548,0
1980-10-01,1827,0
1980-11-01,1737,0
1980-12-01,1941,0
1981-01-01,1474,0
1981-02-01,1458,0
1981-03-01,1542,0
1981-04-01,1404,0
1981-05-01,1522,0
1981-06-01,1385,0
1981-07-01,1641,0
1981-08-01,1510,0
1981-09-01,1681,0
1981-10-01,1938,0
1981-11-01,1868,0
1981-12-01,1726,0
1982-01-01,1456,0
1982-02-01,1445,0
1982-03-01,1456,0
1982-04-01,1365,0
1982-05-01,1487,0
1982-06-01,1558,0
1982-07-01,1488,0
1982-08-01,1684,0
1982-09-01,1594,0
1982-10-01,1850,0
1982-11-01,1998,0
1982-12-01,2079,0
1983-01-01,1494,0
1983-02-01,1057,1
1983-03-01,1218,0
1983-04-01,1168,0
1983-05-01,1236,0
1983-06-01,1076,0
1983-07-01,1174,0
1983-08-01,1139,0
1983-09-01,1427,0
1983-10-01,1487,0
1983-11-01,1483,0
1983-12-01,1513,0
1984-01-01,1357,0
1984-02-01,1165,0
1984-03-01,1282,0
1984-04-01,1110,0
1984-05-01,1297,0
1984-06-01,1185,0
1984-07-01,1222,0
1984-08-01,1284,0
1984-09-01,1444,0
1984-10-01,1575,0
1984-11-01,1737,0
1984-12-01,1763,0
