Time,Sales
1991-01,266.0
1991-02,145.9
1991-03,183.1
1991-04,119.3
1991-05,180.3
1991-06,168.5
1991-07,231.8
1991-08,224.5
1991-09,192.8
1991-10,122.9
1991-11,336.5
1991-12,185.9
1992-01,194.3
1992-02,149.5
1992-03,210.1
1992-04,273.3
1992-05,191.4
1992-06,287.0
1992-07,226.0
1992-08,303.6
1992-09,289.9
1992-10,421.6
1992-11,264.5
1992-12,342.3
1993-01,339.7
1993-02,440.4
1993-03,315.9
1993-04,439.3
1993-05,401.3
1993-06,437.4
1993-07,575.5
1993-08,407.6
1993-09,682.0
1993-10,475.3
1993-11,581.3
1993-12,646.9
